id,name,description,uri,code,alt_names,collection,vocabulary
role_dpt,Depositor,"A current owner of an item who deposited the item into the custody of another person, family, or organization, while still retaining ownership",http://id.loc.gov/vocabulary/relators/dpt,dpt,"",Owner,MARC Code List for Relators Scheme
role_rse,Respondent-appellee,"A respondent against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding",http://id.loc.gov/vocabulary/relators/rse,rse,"","",MARC Code List for Relators Scheme
role_cmt,Compositor,"A person or organization responsible for the creation of metal slug, or molds made of other materials, used to produce the text and images in printed matter",http://id.loc.gov/vocabulary/relators/cmt,cmt,Typesetter,"",MARC Code List for Relators Scheme
role_pta,Patent applicant,A person or organization that applied for a patent,http://id.loc.gov/vocabulary/relators/pta,pta,"","",MARC Code List for Relators Scheme
role_wst,Writer of supplementary textual content,"A person, family, or organization contributing to a resource by providing supplementary textual content (e.g., an introduction, a preface) to the original work",http://id.loc.gov/vocabulary/relators/wst,wst,"",Contributor,MARC Code List for Relators Scheme
role_rth,Research team head,A person who directed or managed a research project,http://id.loc.gov/vocabulary/relators/rth,rth,"","",MARC Code List for Relators Scheme
role_csl,Consultant,"A person or organization relevant to a resource, who is called upon for professional advice or services in a specialized field of knowledge or training",http://id.loc.gov/vocabulary/relators/csl,csl,"",Other,MARC Code List for Relators Scheme
role_prs,Production designer,A person or organization responsible for designing the overall visual appearance of a moving image production,http://id.loc.gov/vocabulary/relators/prs,prs,"",Contributor,MARC Code List for Relators Scheme
role_plt,Platemaker,"A person, family, or organization involved in manufacturing a manifestation by preparing plates used in the production of printed images and/or text",http://id.loc.gov/vocabulary/relators/plt,plt,"","",MARC Code List for Relators Scheme
role_csp,Consultant to a project,"A person or organization relevant to a resource, who is engaged specifically to provide an intellectual overview of a strategic or operational task and by analysis, specification, or instruction, to create or propose a cost-effective course of action or solution",http://id.loc.gov/vocabulary/relators/csp,csp,"","",MARC Code List for Relators Scheme
role_pte,Plaintiff-appellee,"A plaintiff against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding",http://id.loc.gov/vocabulary/relators/pte,pte,"","",MARC Code List for Relators Scheme
role_pmn,Production manager,A person responsible for all technical and business matters in a production,http://id.loc.gov/vocabulary/relators/pmn,pmn,"","",MARC Code List for Relators Scheme
role_dtm,Data manager,A person or organization responsible for managing databases or other data sources,http://id.loc.gov/vocabulary/relators/dtm,dtm,"","",MARC Code List for Relators Scheme
role_ins,Inscriber,A person who has written a statement of dedication or gift,http://id.loc.gov/vocabulary/relators/ins,ins,"",Other,MARC Code List for Relators Scheme
role_msd,Musical director,"A person who coordinates the activities of the composer, the sound editor, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment",http://id.loc.gov/vocabulary/relators/msd,msd,"",Contributor,MARC Code List for Relators Scheme
role_cli,Client,A person or organization for whom another person or organization is acting,http://id.loc.gov/vocabulary/relators/cli,cli,"","",MARC Code List for Relators Scheme
role_lse,Licensee,A person or organization who is an original recipient of the right to print or publish,http://id.loc.gov/vocabulary/relators/lse,lse,"","",MARC Code List for Relators Scheme
role_clt,Collotyper,"A person, family, or organization involved in manufacturing a manifestation of photographic prints from film or other colloid that has ink-receptive and ink-repellent surfaces",http://id.loc.gov/vocabulary/relators/clt,clt,"","",MARC Code List for Relators Scheme
role_pan,Panelist,"A performer contributing to a resource by participating in a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion",http://id.loc.gov/vocabulary/relators/pan,pan,"",Contributor,MARC Code List for Relators Scheme
role_rcp,Addressee,"A person, family, or organization to whom the correspondence in a work is addressed",http://id.loc.gov/vocabulary/relators/rcp,rcp,Recipient,Other,MARC Code List for Relators Scheme
role_res,Researcher,A person or organization responsible for performing research,http://id.loc.gov/vocabulary/relators/res,res,Performer of research,"",MARC Code List for Relators Scheme
role_cll,Calligrapher,"A person or organization who writes in an artistic hand, usually as a copyist and or engrosser",http://id.loc.gov/vocabulary/relators/cll,cll,"","",MARC Code List for Relators Scheme
role_fac,Facsimilist,A person or organization that executed the facsimile,http://id.loc.gov/vocabulary/relators/fac,fac,Copier,"",MARC Code List for Relators Scheme
role_eng,Engineer,"A person or organization that is responsible for technical planning and design, particularly with construction",http://id.loc.gov/vocabulary/relators/eng,eng,"","",MARC Code List for Relators Scheme
role_spy,Second party,"A person or organization who is identified as the party of the second part. In the case of transfer of right, this is the assignee, transferee, licensee, grantee, etc. Multiple parties can be named jointly as the second party",http://id.loc.gov/vocabulary/relators/spy,spy,"","",MARC Code List for Relators Scheme
role_mrk,Markup editor,"A person or organization performing the coding of SGML, HTML, or XML markup of metadata, text, etc.",http://id.loc.gov/vocabulary/relators/mrk,mrk,Encoder,"",MARC Code List for Relators Scheme
role_aud,Author of dialog,A person or organization responsible for the dialog or spoken commentary for a screenplay or sound recording,http://id.loc.gov/vocabulary/relators/aud,aud,"","",MARC Code List for Relators Scheme
role_brd,Broadcaster,"A person, family, or organization involved in broadcasting a resource to an audience via radio, television, webcast, etc.",http://id.loc.gov/vocabulary/relators/brd,brd,"",Publisher,MARC Code List for Relators Scheme
role_isb,Issuing body,"A person, family or organization issuing a work, such as an official organ of the body",http://id.loc.gov/vocabulary/relators/isb,isb,"",Other,MARC Code List for Relators Scheme
